source,country,country_name,product_id,product_name,product_code,search_text,emission_factor_per_meur,co2_per_meur,ch4_per_meur,n2o_per_meur,output_meur,unit,base_year,gwp_version,data_quality,tier
EXIOBASE,TW,台灣,25,Lignite/Brown Coal,C_LIBC,Lignite/Brown Coal 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,26,BKB/Peat Briquettes,C_BKBP,BKB/Peat Briquettes 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,27,Peat,C_PEAT,Peat 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,28,"Crude petroleum and services related to crude oil extraction, excluding surveying",C_COIL,"原油 Crude petroleum and services related to crude oil extraction, excluding surveying 石油 petroleum crude oil 礦業 台灣",9235.719722083457,9160.41355370886,0.5622543622086899,0.2247662121990684,205.537837768,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,29,"Natural gas and services related to natural gas extraction, excluding surveying",C_GASE,"天然氣 Natural gas and services related to natural gas extraction, excluding surveying gas natural gas 礦業 台灣",475986.8825205647,473223.9731667453,89.7208496526004,0.9461342020625512,349.205547792,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,30,Natural Gas Liquids,C_GASL,Natural Gas Liquids 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,31,Other Hydrocarbons,C_OGPL,Other Hydrocarbons 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,32,Uranium and thorium ores (12),C_ORAN,Uranium and thorium ores (12) 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,33,Iron ores,C_IRON,鐵礦 Iron ores 鐵礦石 iron ore 礦業 台灣,15.287698290821652,15.15899265794824,0.0043095768077816,3.033012171896728e-05,968.895053287,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,34,Copper ores and concentrates,C_COPO,銅礦 Copper ores and concentrates 銅 copper 礦業 台灣,189.8891312273272,189.0498158335928,0.0048863431219452,0.0026509350427165,323.219203569,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,35,Nickel ores and concentrates,C_NIKO,Nickel ores and concentrates 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,36,Aluminium ores and concentrates,C_ALUO,鋁礦 Aluminium ores and concentrates 鋁 aluminum bauxite 礦業 台灣,1055.9513915920909,1046.9809231945803,0.0785371343935706,0.0255525608848692,26.0103873936,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,37,Precious metal ores and concentrates,C_PREO,Precious metal ores and concentrates 台灣,1335.6994877568916,1327.895180513557,0.0989675531542348,0.0189932670000592,106.39520664,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,38,"Lead, zinc and tin ores and concentrates",C_LZTO,"Lead, zinc and tin ores and concentrates 台灣",11849758.53742558,11788078.61488451,737.3380737890043,154.84700556595882,196.538913415,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,39,Other non-ferrous metal ores and concentrates,C_ONFO,Other non-ferrous metal ores and concentrates 台灣,53.495644770349536,53.04494899871576,0.0154264690370585,7.077222111748376e-05,20.2834011624,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,40,Stone,C_STON,Stone 台灣,0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,41,Sand and clay,C_SDCL,砂土 Sand and clay 沙 sand 黏土 clay 礦業 台灣,53139.5314105388,53017.442457343575,0.6234956463361453,0.3948342456521087,2419.15803025,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,42,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",C_CHMF,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c. 台灣",611843.3257591391,608684.7732023253,32.92412483160782,8.440290798221758,525.068860725,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,43,Products of meat cattle,C_PCAT,牛肉製品 Products of meat cattle 牛肉 beef products 食品加工 台灣,388663.9154377853,385668.7371294171,30.361568701074304,8.09454484806846,835.765230431,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,44,Products of meat pigs,C_PPIG,豬肉製品 Products of meat pigs 豬肉 pork products 食品加工 台灣,102089.26925425076,101532.58245846734,5.837293285998758,1.4839342783979508,3937.1244938,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,45,Products of meat poultry,C_PPLT,禽肉製品 Products of meat poultry 雞肉 chicken products 食品加工 台灣,37850.557464675374,37624.94462838904,2.824224823016348,0.5529605329881973,412.142713648,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,46,Meat products nec,C_POME,其他肉製品 Meat products nec 肉品 meat products 食品加工 台灣,220016.2598415532,219548.3523454403,4.733553645069753,1.265539600192033,1119.21808316,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,47,products of Vegetable oils and fats,C_VOIL,植物油脂 products of Vegetable oils and fats 食用油 vegetable oil 油脂 食品加工 台灣,975.6938601995896,968.460967502078,0.191434420633358,0.0070669015840671,1453.97286277,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,48,Dairy products,C_DAIR,乳製品 Dairy products 奶製品 dairy 乳品 食品加工 台灣,3920.7066973947135,3879.50790751918,0.4291572548159985,0.1101222141157973,1659.88057334,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,49,Processed rice,C_RICE,加工米 Processed rice 白米 processed rice 食品加工 台灣,23842.235354715565,23774.024004488467,0.5282663391477485,0.2015845008715524,1017.77561373,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,50,Sugar,C_SUGR,糖 Sugar 砂糖 sugar 食品加工 台灣,2108.629299213568,2088.397708394744,0.1542060512423393,0.0600521561661823,2777.14606349,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,51,Food products nec,C_OFOD,其他食品 Food products nec 食品 food products 食品加工 台灣,2417.9537037111986,2354.095773833192,0.464899442109638,0.1918518698073091,14606.9281805,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,52,Beverages,C_BEVR,飲料 Beverages 飲品 beverages drinks 食品加工 台灣,33279.38564088533,33116.487966933986,1.2318499887621903,0.4845504689283231,4844.38888001,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,53,Fish products,C_FSHP,魚產品 Fish products 魚製品 fish products 海鮮產品 食品加工 台灣,204368.15895962596,203189.43557865973,8.900186872558548,3.5076156548473945,676.843262502,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,54,Tobacco products (16),C_TOBC,菸草製品 Tobacco products (16) 香菸 tobacco cigarettes 食品加工 台灣,357755.5235283074,356928.73182909697,4.429746931910097,2.6519199438375285,2033.14289288,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,55,Textiles (17),C_TEXT,紡織品 Textiles (17) 紡織 textiles 布料 製造業 台灣,39933.582506470426,39790.3048908624,1.1453825182070745,0.4196486984838644,29580.8752217,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,56,Wearing apparel; furs (18),C_GARM,服飾 Wearing apparel; furs (18) 服裝 apparel 衣服 clothing 製造業 台灣,21651.539939114464,21553.211192429968,1.3205386419722982,0.2315232630538581,5306.00777471,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,57,Leather and leather products (19),C_LETH,皮革製品 Leather and leather products (19) 皮革 leather 製造業 台灣,16741.58284452025,16694.217084913045,0.2629058087922976,0.1509599885321486,3556.23367277,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,58,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),C_WOOD,木製品 Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20) 木材製品 wood products 製造業 台灣,20346.693839367163,20272.31563552789,0.5220251991066928,0.2255150877897445,2789.60038533,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,59,"Wood material for treatment, Re-processing of secondary wood material into new wood material",C_WOOW,"Wood material for treatment, Re-processing of secondary wood material into new wood material 台灣",0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,60,Pulp,C_PULP,Pulp 台灣,11636924.73434778,11495535.402882842,302.3287989088735,501.600472058449,53.6609290969,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,61,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",C_PAPR,"Secondary paper for treatment, Re-processing of secondary paper into new pulp 台灣",0.0,0.0,0.0,0.0,0.0,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,62,Paper and paper products,C_PAPE,紙製品 Paper and paper products 紙 paper 製造業 台灣,126692.23684002925,125640.82130849957,2.1930461324762347,3.7358876974353095,10964.5909387,kg CO2e/M.EUR,2022,AR5,Medium,3
EXIOBASE,TW,台灣,63,Printed matter and recorded media (22),C_MDIA,印刷品 Printed matter and recorded media (22) 印刷 printed 出版 製造業 台灣,14528.811247738928,14460.633156274154,0.7531931667159283,0.1776931426291599,13101.7534322,kg CO2e/M.EUR,2022,AR5,Medium,3
