emission_factor_id,source_database,category_code,category_name_en,category_name_zh,activity_type_en,activity_type_zh,scope3_category,unit,emission_factor,co2_emission,ch4_emission,n2o_emission,geographic_scope,year,tier_level,data_quality,gwp_version,source_url,license,notes,search_text
LEGACY_FOOTPRINTCALC_006377,FootprintCalc,OKAN_FSC/PEFC_1075_KG/M3_WET,Okan FSC/PEFC 1075 (kg/m3) wet,,Materials & Chemicals,,1,kg CO2e/kg,0.223,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Okan FSC/PEFC 1075 (kg/m3) wet Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006378,FootprintCalc,OKAN_NATURAL_FOREST_1075_KG/M3_WET,Okan natural forest 1075 (kg/m3) wet,,Materials & Chemicals,,1,kg CO2e/kg,3.176,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Okan natural forest 1075 (kg/m3) wet Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006379,FootprintCalc,OKOUME_FSC/PEFC_FOREST_440_KG/M3,Okoume FSC/PEFC forest 440 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.271,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Okoume FSC/PEFC forest 440 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006380,FootprintCalc,OKOUME_NATURAL_FOREST_440_KG/M3,Okoume natural forest 440 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,3.721,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Okoume natural forest 440 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006381,FootprintCalc,OLON_FSC/PEFC_485_KG/M3,Olon FSC/PEFC 485 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.263,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Olon FSC/PEFC 485 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006382,FootprintCalc,OLON_NATURAL_FOREST_485_KG/M3,Olon natural forest 485 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,3.713,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Olon natural forest 485 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006383,FootprintCalc,ONION_FRESH,Onion fresh,,Materials & Chemicals,,1,kg CO2e/kg,0.142,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Onion fresh Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006384,FootprintCalc,ONZABILI_FSC/PEFCT_550_KG/M3,Onzabili FSC/PEFCt 550 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.254,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Onzabili FSC/PEFCt 550 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006385,FootprintCalc,ONZABILI_NATURAL_FOREST_550_KG/M3,Onzabili natural forest 550 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,3.704,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Onzabili natural forest 550 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
LEGACY_FOOTPRINTCALC_006386,FootprintCalc,OREGON_PINE_FSC/PEFC_505_KG/M3,Oregon Pine FSC/PEFC 505 (kg/m3),,Materials & Chemicals,,1,kg CO2e/kg,0.334,,,,Global,2023,2.0,Medium,AR5,,Check source database,Migrated from FootprintCalc,Oregon Pine FSC/PEFC 505 (kg/m3) Materials & Chemicals Scope 3 Category 1 FootprintCalc kg CO2e/kg
