Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
Electricity Afghanistan production,MJ,0.038,0.01,for detailed calculations see excel-electricity-JV 
Electricity Africa production,MJ,0.17,0.03,for detailed calculations see excel-electricity-JV 
Electricity Alabama production,MJ,0.123,0.03,for detailed calculations see excel-electricity-JV 
Electricity Alaska production,MJ,0.181,0.04,for detailed calculations see excel-electricity-JV 
Electricity Albania production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Alberta production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Algeria production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity American Samoa production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Andaman & Nicobar production,MJ,0.245,0.04,for detailed calculations see excel-electricity-JV 
Electricity Andhra Pradesh production,MJ,0.231,0.03,for detailed calculations see excel-electricity-JV 
Electricity Angola production,MJ,0.061,0.01,for detailed calculations see excel-electricity-JV 
Electricity Anhui production,MJ,0.273,0.04,for detailed calculations see excel-electricity-JV 
Electricity Antigua and Barbuda production,MJ,0.21,0.04,for detailed calculations see excel-electricity-JV 
Electricity Argentina production,MJ,0.124,0.02,for detailed calculations see excel-electricity-JV 
Electricity Arizona production,MJ,0.117,0.03,for detailed calculations see excel-electricity-JV 
Electricity Arkansas production,MJ,0.164,0.03,for detailed calculations see excel-electricity-JV 
Electricity Armenia production,MJ,0.083,0.02,for detailed calculations see excel-electricity-JV 
Electricity Aruba production,MJ,0.186,0.03,for detailed calculations see excel-electricity-JV 
Electricity Arunachal Pradesh production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Asia Pacific production,MJ,0.181,0.03,for detailed calculations see excel-electricity-JV 
Electricity Assam production,MJ,0.227,0.04,for detailed calculations see excel-electricity-JV 
Electricity Australia production,MJ,0.173,0.03,for detailed calculations see excel-electricity-JV 
Electricity Austria consumption,MJ,0.045,0.01,for detailed calculations see excel-electricity-JV 
Electricity Austria production,MJ,0.039,0.01,for detailed calculations see excel-electricity-JV 
Electricity Azerbaijan production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Bahamas production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Bahrain production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Bangladesh production,MJ,0.206,0.04,for detailed calculations see excel-electricity-JV 
Electricity Barbados production,MJ,0.206,0.04,for detailed calculations see excel-electricity-JV 
Electricity Beijin production,MJ,0.19,0.03,for detailed calculations see excel-electricity-JV 
Electricity Belarus production,MJ,0.158,0.03,for detailed calculations see excel-electricity-JV 
Electricity Belgium (2019),MJ,0.057,0.02,for detailed calculations see Global Market Mix excel 
Electricity Belgium consumption,MJ,0.049,0.02,for detailed calculations see excel-electricity-JV 
Electricity Belgium production,MJ,0.057,0.02,for detailed calculations see excel-electricity-JV 
Electricity Belize production,MJ,0.139,0.03,for detailed calculations see excel-electricity-JV 
Electricity Benin production,MJ,0.213,0.04,for detailed calculations see excel-electricity-JV 
Electricity Bermuda production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity Bhutan production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Bihar production,MJ,0.297,0.04,for detailed calculations see excel-electricity-JV 
Electricity Bolivia production,MJ,0.117,0.02,for detailed calculations see excel-electricity-JV 
Electricity Bosnia and Herzegovina production,MJ,0.177,0.03,for detailed calculations see excel-electricity-JV 
Electricity Botswana production,MJ,0.271,0.05,for detailed calculations see excel-electricity-JV 
Electricity Brazil production,MJ,0.026,0.01,for detailed calculations see excel-electricity-JV 
Electricity British Columbia production,MJ,0.006,0,for detailed calculations see excel-electricity-JV 
Electricity Brunei production,MJ,0.236,0.04,for detailed calculations see excel-electricity-JV 
Electricity Bulgaria consumption,MJ,0.137,0.03,for detailed calculations see excel-electricity-JV 
Electricity Bulgaria production,MJ,0.137,0.03,for detailed calculations see excel-electricity-JV 
Electricity Burkina Faso production,MJ,0.194,0.04,for detailed calculations see excel-electricity-JV 
Electricity Burundi production,MJ,0.069,0.01,for detailed calculations see excel-electricity-JV 
Electricity California production,MJ,0.094,0.02,for detailed calculations see excel-electricity-JV 
Electricity Cambodia production,MJ,0.133,0.02,for detailed calculations see excel-electricity-JV 
Electricity Cameroon production,MJ,0.084,0.02,for detailed calculations see excel-electricity-JV 
Electricity Canada production,MJ,0.041,0.01,for detailed calculations see excel-electricity-JV 
Electricity Cape Verde production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Cayman Islands production,MJ,0.216,0.04,for detailed calculations see excel-electricity-JV 
Electricity Central African Republic production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Central America production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Chad production,MJ,0.214,0.04,for detailed calculations see excel-electricity-JV 
Electricity Chandigarh production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Chhattisgarh production,MJ,0.294,0.04,for detailed calculations see excel-electricity-JV 
Electricity Chile production,MJ,0.112,0.02,for detailed calculations see excel-electricity-JV 
Electricity China (2019),MJ,0.195,0.03,for detailed calculations see Global Market Mix excel 
Electricity China production,MJ,0.175,0.02,for detailed calculations see excel-electricity-JV 
Electricity CHN production,MJ,0.173,0.03,for detailed calculations see excel-electricity-JV 
Electricity Chongqing production,MJ,0.197,0.03,for detailed calculations see excel-electricity-JV 
Electricity CIS production,MJ,0.144,0.03,for detailed calculations see excel-electricity-JV 
"Electricity coal, EU, US, China, 38% efficiency",MJ,0.296,0.05,"from butuminous coal, for detailed calculations see Global Market Mix excel "
Electricity Colombia production,MJ,0.054,0.01,for detailed calculations see excel-electricity-JV 
Electricity Colorado production,MJ,0.182,0.03,for detailed calculations see excel-electricity-JV 
Electricity Comoros production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Congo production,MJ,0.146,0.03,for detailed calculations see excel-electricity-JV 
Electricity Connecticut production,MJ,0.099,0.02,for detailed calculations see excel-electricity-JV 
Electricity Cook Islands production,MJ,0.143,0.03,for detailed calculations see excel-electricity-JV 
Electricity Costa Rica production,MJ,0.006,0,for detailed calculations see excel-electricity-JV 
Electricity Cote d'Ivoire production,MJ,0.141,0.03,for detailed calculations see excel-electricity-JV 
Electricity Croatia consumption,MJ,0.063,0.01,for detailed calculations see excel-electricity-JV 
Electricity Croatia production,MJ,0.054,0.01,for detailed calculations see excel-electricity-JV 
Electricity Cuba production,MJ,0.182,0.03,for detailed calculations see excel-electricity-JV 
Electricity Cyprus consumption,MJ,0.013,0,for detailed calculations see excel-electricity-JV 
Electricity Cyprus production,MJ,0.186,0.03,for detailed calculations see excel-electricity-JV 
Electricity Czechia consumption,MJ,0.131,0.03,for detailed calculations see excel-electricity-JV 
Electricity Czechia production,MJ,0.131,0.03,for detailed calculations see excel-electricity-JV 
Electricity Dadra & Nagar Naveli production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Delaware production,MJ,0.207,0.03,for detailed calculations see excel-electricity-JV 
Electricity Delhi production,MJ,0.183,0.04,for detailed calculations see excel-electricity-JV 
Electricity Democratic Republic of Congo production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Denmark (2019),MJ,0.056,0.01,for detailed calculations see Global Market Mix excel 
Electricity Denmark consumption,MJ,0.039,0.01,for detailed calculations see excel-electricity-JV 
Electricity Denmark production,MJ,0.037,0.01,for detailed calculations see excel-electricity-JV 
Electricity District of Columbia production,MJ,0.186,0.04,for detailed calculations see excel-electricity-JV 
Electricity Djibouti production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Dominica production,MJ,0.169,0.03,for detailed calculations see excel-electricity-JV 
Electricity Dominican Republic production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Eastern Africa production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Ecuador production,MJ,0.055,0.01,for detailed calculations see excel-electricity-JV 
Electricity Egypt production,MJ,0.175,0.03,for detailed calculations see excel-electricity-JV 
Electricity El Salvador production,MJ,0.059,0.01,for detailed calculations see excel-electricity-JV 
Electricity Equatorial Guinea production,MJ,0.153,0.03,for detailed calculations see excel-electricity-JV 
Electricity Eritrea production,MJ,0.217,0.04,for detailed calculations see excel-electricity-JV 
Electricity Estonia consumption,MJ,0.187,0.03,for detailed calculations see excel-electricity-JV 
Electricity Estonia production,MJ,0.201,0.03,for detailed calculations see excel-electricity-JV 
Electricity Eswatini production,MJ,0.013,0,for detailed calculations see excel-electricity-JV 
Electricity Ethiopia production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity EU-27 (2019),MJ,0.094,0.02,for detailed calculations see Global Market Mix excel 
Electricity Falkland Islands production,MJ,0.112,0.02,for detailed calculations see excel-electricity-JV 
Electricity Faroe Islands production,MJ,0.138,0.03,for detailed calculations see excel-electricity-JV 
Electricity Fiji production,MJ,0.081,0.02,for detailed calculations see excel-electricity-JV 
Electricity Finland consumption,MJ,0.032,0.01,for detailed calculations see excel-electricity-JV 
Electricity Finland production,MJ,0.023,0.01,for detailed calculations see excel-electricity-JV 
Electricity Florida production,MJ,0.15,0.03,for detailed calculations see excel-electricity-JV 
Electricity France (2019),MJ,0.02,0.02,for detailed calculations see Global Market Mix excel 
Electricity France consumption,MJ,0.029,0.02,for detailed calculations see excel-electricity-JV 
Electricity France production,MJ,0.027,0.02,for detailed calculations see excel-electricity-JV 
Electricity French Guiana production,MJ,0.028,0.02,for detailed calculations see excel-electricity-JV 
Electricity French Polynesia production,MJ,0.151,0.03,for detailed calculations see excel-electricity-JV 
"Electricity from offshore windmill (5MW, capacity factor 0.4",MJ,0.002,0,#VALUE!
Electricity Fujian production,MJ,0.178,0.03,for detailed calculations see excel-electricity-JV 
Electricity Gabon production,MJ,0.123,0.02,for detailed calculations see excel-electricity-JV 
Electricity Gambia production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Gansu production,MJ,0.142,0.02,for detailed calculations see excel-electricity-JV 
"Electricity gas, EU, US, China, 60% efficiency",MJ,0.173,0.03,for detailed calculations see Global Market Mix excel 
Electricity General Industry,MJ,0.137,0.02,#VALUE!
Electricity Georgia (country) production,MJ,0.046,0.01,for detailed calculations see excel-electricity-JV 
Electricity Georgia (US state) production,MJ,0.128,0.03,for detailed calculations see excel-electricity-JV 
Electricity Germany (2019),MJ,0.117,0.02,for detailed calculations see Global Market Mix excel 
Electricity Germany consumption,MJ,0.125,0.02,for detailed calculations see excel-electricity-JV 
Electricity Germany production,MJ,0.125,0.02,for detailed calculations see excel-electricity-JV 
Electricity Ghana production,MJ,0.128,0.02,for detailed calculations see excel-electricity-JV 
Electricity Goa production,MJ,0.02,0,for detailed calculations see excel-electricity-JV 
Electricity Greece consumption,MJ,0.142,0.02,for detailed calculations see excel-electricity-JV 
Electricity Greece production,MJ,0.145,0.02,for detailed calculations see excel-electricity-JV 
Electricity Greenland production,MJ,0.038,0.01,for detailed calculations see excel-electricity-JV 
Electricity Grenada production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Guadeloupe production,MJ,0.171,0.03,for detailed calculations see excel-electricity-JV 
Electricity Guam production,MJ,0.212,0.04,for detailed calculations see excel-electricity-JV 
Electricity Guangdong production,MJ,0.176,0.03,for detailed calculations see excel-electricity-JV 
Electricity Guangxi production,MJ,0.145,0.02,for detailed calculations see excel-electricity-JV 
Electricity Guatemala production,MJ,0.091,0.02,for detailed calculations see excel-electricity-JV 
Electricity Guinea production,MJ,0.062,0.01,for detailed calculations see excel-electricity-JV 
Electricity Guinea-Bissau production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Guizhou production,MJ,0.171,0.02,for detailed calculations see excel-electricity-JV 
Electricity Gujarat production,MJ,0.18,0.03,for detailed calculations see excel-electricity-JV 
Electricity Guyana production,MJ,0.196,0.04,for detailed calculations see excel-electricity-JV 
Electricity Hainan production,MJ,0.233,0.04,for detailed calculations see excel-electricity-JV 
Electricity Haiti production,MJ,0.192,0.04,for detailed calculations see excel-electricity-JV 
Electricity Haryana production,MJ,0.286,0.04,for detailed calculations see excel-electricity-JV 
Electricity Hawaii production,MJ,0.217,0.04,for detailed calculations see excel-electricity-JV 
Electricity Hebei production,MJ,0.235,0.03,for detailed calculations see excel-electricity-JV 
Electricity Heilongjiang production,MJ,0.242,0.03,for detailed calculations see excel-electricity-JV 
Electricity Henan production,MJ,0.266,0.04,for detailed calculations see excel-electricity-JV 
Electricity Himachal Pradesh production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Honduras production,MJ,0.112,0.02,for detailed calculations see excel-electricity-JV 
Electricity Hong Kong production,MJ,0.242,0.04,for detailed calculations see excel-electricity-JV 
Electricity Hubei production,MJ,0.121,0.02,for detailed calculations see excel-electricity-JV 
Electricity Hunan production,MJ,0.171,0.02,for detailed calculations see excel-electricity-JV 
Electricity Hungary consumption,MJ,0.076,0.02,for detailed calculations see excel-electricity-JV 
Electricity Hungary production,MJ,0.07,0.02,for detailed calculations see excel-electricity-JV 
Electricity Iceland production,MJ,0.001,0,for detailed calculations see excel-electricity-JV 
Electricity Idaho production,MJ,0.058,0.01,for detailed calculations see excel-electricity-JV 
Electricity Illinois production,MJ,0.104,0.03,for detailed calculations see excel-electricity-JV 
Electricity India production,MJ,0.229,0.03,for detailed calculations see excel-electricity-JV 
Electricity Indiana production,MJ,0.244,0.04,for detailed calculations see excel-electricity-JV 
Electricity Indonesia production,MJ,0.222,0.03,for detailed calculations see excel-electricity-JV 
Electricity Inner Mongolia production,MJ,0.237,0.03,for detailed calculations see excel-electricity-JV 
Electricity Iowa production,MJ,0.138,0.02,for detailed calculations see excel-electricity-JV 
Electricity Iran production,MJ,0.182,0.03,for detailed calculations see excel-electricity-JV 
Electricity Iraq production,MJ,0.183,0.03,for detailed calculations see excel-electricity-JV 
Electricity Ireland consumption,MJ,0.115,0.02,for detailed calculations see excel-electricity-JV 
Electricity Ireland production,MJ,0.115,0.02,for detailed calculations see excel-electricity-JV 
Electricity Israel production,MJ,0.202,0.04,for detailed calculations see excel-electricity-JV 
Electricity Italy (2019),MJ,0.085,0.01,for detailed calculations see Global Market Mix excel 
Electricity Italy consumption,MJ,0.101,0.02,for detailed calculations see excel-electricity-JV 
Electricity Italy production,MJ,0.101,0.02,for detailed calculations see excel-electricity-JV 
Electricity Jamaica production,MJ,0.174,0.03,for detailed calculations see excel-electricity-JV 
Electricity Jammu & Kashmir and Ladajh production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Japan production,MJ,0.153,0.02,for detailed calculations see excel-electricity-JV 
Electricity Jharkhand production,MJ,0.295,0.04,for detailed calculations see excel-electricity-JV 
Electricity Jiangsu production,MJ,0.238,0.03,for detailed calculations see excel-electricity-JV 
Electricity Jiangxi production,MJ,0.237,0.03,for detailed calculations see excel-electricity-JV 
Electricity Jilin production,MJ,0.214,0.03,for detailed calculations see excel-electricity-JV 
Electricity Jordan production,MJ,0.15,0.03,for detailed calculations see excel-electricity-JV 
Electricity Kansas production,MJ,0.128,0.02,for detailed calculations see excel-electricity-JV 
Electricity Karnataka production,MJ,0.125,0.02,for detailed calculations see excel-electricity-JV 
Electricity Kazakhstan production,MJ,0.225,0.04,for detailed calculations see excel-electricity-JV 
Electricity Kentucky production,MJ,0.259,0.04,for detailed calculations see excel-electricity-JV 
Electricity Kenya production,MJ,0.024,0,for detailed calculations see excel-electricity-JV 
Electricity Kerala production,MJ,0.003,0,for detailed calculations see excel-electricity-JV 
Electricity Kiribati production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Kosovo production,MJ,0.266,0.04,for detailed calculations see excel-electricity-JV 
Electricity Kuwait production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Kyrgyzstan production,MJ,0.03,0.01,for detailed calculations see excel-electricity-JV 
Electricity Lakshadweep production,MJ,0.026,0.01,for detailed calculations see excel-electricity-JV 
Electricity Laos production,MJ,0.078,0.01,for detailed calculations see excel-electricity-JV 
Electricity Latvia consumption,MJ,0.055,0.01,for detailed calculations see excel-electricity-JV 
Electricity Latvia production,MJ,0.039,0.01,for detailed calculations see excel-electricity-JV 
Electricity Lebanon production,MJ,0.198,0.04,for detailed calculations see excel-electricity-JV 
Electricity Lesotho production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Liaoning production,MJ,0.195,0.03,for detailed calculations see excel-electricity-JV 
Electricity Liberia production,MJ,0.095,0.02,for detailed calculations see excel-electricity-JV 
Electricity Libya production,MJ,0.197,0.04,for detailed calculations see excel-electricity-JV 
Electricity Lithuania consumption,MJ,0.08,0.01,for detailed calculations see excel-electricity-JV 
Electricity Lithuania production,MJ,0.064,0.01,for detailed calculations see excel-electricity-JV 
Electricity Louisiana production,MJ,0.167,0.03,for detailed calculations see excel-electricity-JV 
"Electricity Low Voltage, domestic use General",MJ,0.144,0.03,average 5% losses for transformation and transport in comparison to Medium Voltage
Electricity Luxembourg consumption,MJ,0.078,0.01,for detailed calculations see excel-electricity-JV 
Electricity Luxembourg production,MJ,0.025,0,for detailed calculations see excel-electricity-JV 
Electricity Macau production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Madagascar production,MJ,0.154,0.03,for detailed calculations see excel-electricity-JV 
Electricity Madhya Pradesh production,MJ,0.269,0.04,for detailed calculations see excel-electricity-JV 
Electricity Maharashtra production,MJ,0.237,0.04,for detailed calculations see excel-electricity-JV 
Electricity Maine production,MJ,0.074,0.01,for detailed calculations see excel-electricity-JV 
Electricity Malawi production,MJ,0.039,0.01,for detailed calculations see excel-electricity-JV 
Electricity Malaysia production,MJ,0.193,0.03,for detailed calculations see excel-electricity-JV 
Electricity Maldives production,MJ,0.206,0.04,for detailed calculations see excel-electricity-JV 
Electricity Mali production,MJ,0.142,0.03,for detailed calculations see excel-electricity-JV 
Electricity Malta consumption,MJ,0.043,0.01,for detailed calculations see excel-electricity-JV 
Electricity Malta production,MJ,0.145,0.02,for detailed calculations see excel-electricity-JV 
Electricity Manipur production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Manitoba production,MJ,0.001,0,for detailed calculations see excel-electricity-JV 
Electricity Maryland production,MJ,0.113,0.03,for detailed calculations see excel-electricity-JV 
Electricity Massachusetts production,MJ,0.163,0.03,for detailed calculations see excel-electricity-JV 
Electricity Mauritania production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity Mauritius production,MJ,0.191,0.03,for detailed calculations see excel-electricity-JV 
Electricity Meghalaya production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Mexico production,MJ,0.151,0.03,for detailed calculations see excel-electricity-JV 
Electricity Michigan1 production,MJ,0.159,0.03,for detailed calculations see excel-electricity-JV 
Electricity Minnesota production,MJ,0.131,0.03,for detailed calculations see excel-electricity-JV 
Electricity Mississippi production,MJ,0.145,0.03,for detailed calculations see excel-electricity-JV 
Electricity Missouri production,MJ,0.246,0.04,for detailed calculations see excel-electricity-JV 
Electricity Mizoram production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Moldova production,MJ,0.239,0.04,for detailed calculations see excel-electricity-JV 
Electricity Mongolia production,MJ,0.259,0.04,for detailed calculations see excel-electricity-JV 
Electricity Montana production,MJ,0.161,0.02,for detailed calculations see excel-electricity-JV 
Electricity Montenegro production,MJ,0.136,0.02,for detailed calculations see excel-electricity-JV 
Electricity Montserrat production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Morocco production,MJ,0.211,0.04,for detailed calculations see excel-electricity-JV 
Electricity Mozambique production,MJ,0.039,0.01,for detailed calculations see excel-electricity-JV 
Electricity Myanmar production,MJ,0.119,0.02,for detailed calculations see excel-electricity-JV 
Electricity Nagaland production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Namibia production,MJ,0.019,0,for detailed calculations see excel-electricity-JV 
Electricity National production,MJ,0.195,0.03,for detailed calculations see excel-electricity-JV 
Electricity Nauru production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Nebraska production,MJ,0.177,0.03,for detailed calculations see excel-electricity-JV 
Electricity Nepal production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Netherlands (2019),MJ,0.133,0.02,for detailed calculations see Global Market Mix excel 
Electricity Netherlands Antilles production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity Netherlands consumption,MJ,0.119,0.02,for detailed calculations see excel-electricity-JV 
Electricity Netherlands production,MJ,0.119,0.02,for detailed calculations see excel-electricity-JV 
Electricity Nevada production,MJ,0.131,0.02,for detailed calculations see excel-electricity-JV 
Electricity New Brunswick production,MJ,0.099,0.03,for detailed calculations see excel-electricity-JV 
Electricity New Caledonia production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity New Hampshire production,MJ,0.052,0.02,for detailed calculations see excel-electricity-JV 
Electricity New Jersey production,MJ,0.094,0.03,for detailed calculations see excel-electricity-JV 
Electricity New Mexico production,MJ,0.165,0.02,for detailed calculations see excel-electricity-JV 
Electricity New York2 production,MJ,0.088,0.02,for detailed calculations see excel-electricity-JV 
Electricity New Zealand production,MJ,0.029,0.01,for detailed calculations see excel-electricity-JV 
Electricity Newfoundland and Labrador production,MJ,0.006,0,for detailed calculations see excel-electricity-JV 
Electricity Nicaragua production,MJ,0.101,0.02,for detailed calculations see excel-electricity-JV 
Electricity Niger production,MJ,0.199,0.04,for detailed calculations see excel-electricity-JV 
Electricity Nigeria production,MJ,0.138,0.03,for detailed calculations see excel-electricity-JV 
Electricity Ningxia production,MJ,0.233,0.03,for detailed calculations see excel-electricity-JV 
Electricity North Carolina production,MJ,0.115,0.03,for detailed calculations see excel-electricity-JV 
Electricity North Dakota production,MJ,0.202,0.03,for detailed calculations see excel-electricity-JV 
Electricity North Korea production,MJ,0.049,0.01,for detailed calculations see excel-electricity-JV 
Electricity North Macedonia production,MJ,0.185,0.03,for detailed calculations see excel-electricity-JV 
Electricity Northwest Territories production,MJ,0.061,0.01,for detailed calculations see excel-electricity-JV 
Electricity Norway (2019),MJ,0.008,0,for detailed calculations see Global Market Mix excel 
Electricity Norway consumption,MJ,0.004,0,for detailed calculations see excel-electricity-JV 
Electricity Norway production,MJ,0.004,0,for detailed calculations see excel-electricity-JV 
Electricity Nova Scotia production,MJ,0.223,0.04,for detailed calculations see excel-electricity-JV 
Electricity nuclear (US),MJ,0.002,0.02,data from USLCI efficiency power plant 35%
Electricity Nunavut production,MJ,0.258,0.05,for detailed calculations see excel-electricity-JV 
Electricity Odisha production,MJ,0.271,0.04,for detailed calculations see excel-electricity-JV 
Electricity Ohio production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
"Electricity oil, EU, US, China, 45% efficiency",MJ,0.242,0.04,for detailed calculations see Global Market Mix excel 
Electricity Oklahoma production,MJ,0.123,0.02,for detailed calculations see excel-electricity-JV 
Electricity Oman production,MJ,0.187,0.03,for detailed calculations see excel-electricity-JV 
Electricity Ontario production,MJ,0.016,0.02,for detailed calculations see excel-electricity-JV 
Electricity Oregon production,MJ,0.058,0.01,for detailed calculations see excel-electricity-JV 
Electricity Pakistan production,MJ,0.12,0.03,for detailed calculations see excel-electricity-JV 
Electricity Palestine production,MJ,0.164,0.03,for detailed calculations see excel-electricity-JV 
Electricity Panama production,MJ,0.061,0.01,for detailed calculations see excel-electricity-JV 
Electricity Papua New Guinea production,MJ,0.163,0.03,for detailed calculations see excel-electricity-JV 
Electricity Paraguay production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Pennsylvania production,MJ,0.124,0.03,for detailed calculations see excel-electricity-JV 
Electricity Peru production,MJ,0.089,0.02,for detailed calculations see excel-electricity-JV 
Electricity Philippines production,MJ,0.207,0.04,for detailed calculations see excel-electricity-JV 
Electricity Poland (2019),MJ,0.233,0.04,for detailed calculations see Global Market Mix excel 
Electricity Poland consumption,MJ,0.214,0.03,for detailed calculations see excel-electricity-JV 
Electricity Poland production,MJ,0.214,0.03,for detailed calculations see excel-electricity-JV 
Electricity Portugal (2019),MJ,0.085,0.01,for detailed calculations see Global Market Mix excel 
Electricity Portugal consumption,MJ,0.074,0.01,for detailed calculations see excel-electricity-JV 
Electricity Portugal production,MJ,0.07,0.01,for detailed calculations see excel-electricity-JV 
Electricity Prince Edward Island production,MJ,0.092,0.01,for detailed calculations see excel-electricity-JV 
Electricity Puducherry production,MJ,0.188,0.04,for detailed calculations see excel-electricity-JV 
Electricity Puerto Rico production,MJ,0.215,0.04,for detailed calculations see excel-electricity-JV 
Electricity Punjab production,MJ,0.24,0.04,for detailed calculations see excel-electricity-JV 
Electricity Qatar production,MJ,0.188,0.03,for detailed calculations see excel-electricity-JV 
Electricity Qinghai production,MJ,0.066,0.01,for detailed calculations see excel-electricity-JV 
Electricity Quebec production,MJ,0.001,0,for detailed calculations see excel-electricity-JV 
Electricity Rajasthan production,MJ,0.173,0.03,for detailed calculations see excel-electricity-JV 
Electricity Reunion production,MJ,0.154,0.03,for detailed calculations see excel-electricity-JV 
Electricity Rhode Island production,MJ,0.153,0.02,for detailed calculations see excel-electricity-JV 
Electricity Romania consumption,MJ,0.086,0.02,for detailed calculations see excel-electricity-JV 
Electricity Romania production,MJ,0.086,0.02,for detailed calculations see excel-electricity-JV 
Electricity Russia production,MJ,0.133,0.03,for detailed calculations see excel-electricity-JV 
Electricity Rwanda production,MJ,0.091,0.02,for detailed calculations see excel-electricity-JV 
Electricity Saint Helena production,MJ,0,0,for detailed calculations see excel-electricity-JV 
Electricity Saint Kitts and Nevis production,MJ,0.211,0.04,for detailed calculations see excel-electricity-JV 
Electricity Saint Lucia production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Saint Pierre and Miquelon production,MJ,0.221,0.04,for detailed calculations see excel-electricity-JV 
Electricity Saint Vincent and the Grenadines production,MJ,0.166,0.03,for detailed calculations see excel-electricity-JV 
Electricity Samoa production,MJ,0.147,0.03,for detailed calculations see excel-electricity-JV 
Electricity Sao Tome and Principe production,MJ,0.199,0.04,for detailed calculations see excel-electricity-JV 
Electricity Saskatchewan production,MJ,0.238,0.04,for detailed calculations see excel-electricity-JV 
Electricity Saudi Arabia production,MJ,0.198,0.04,for detailed calculations see excel-electricity-JV 
Electricity Senegal production,MJ,0.176,0.03,for detailed calculations see excel-electricity-JV 
Electricity Serbia production,MJ,0.196,0.03,for detailed calculations see excel-electricity-JV 
Electricity Seychelles production,MJ,0.197,0.04,for detailed calculations see excel-electricity-JV 
Electricity Shaanxi production,MJ,0.256,0.03,for detailed calculations see excel-electricity-JV 
Electricity Shandong production,MJ,0.247,0.03,for detailed calculations see excel-electricity-JV 
Electricity Shanghai production,MJ,0.266,0.04,for detailed calculations see excel-electricity-JV 
Electricity Shanxi production,MJ,0.261,0.04,for detailed calculations see excel-electricity-JV 
Electricity Sichuan production,MJ,0.047,0.01,for detailed calculations see excel-electricity-JV 
Electricity Sierra Leone production,MJ,0.024,0,for detailed calculations see excel-electricity-JV 
Electricity Sikkim production,MJ,0.002,0,for detailed calculations see excel-electricity-JV 
Electricity Singapore production,MJ,0.185,0.03,for detailed calculations see excel-electricity-JV 
Electricity Slovakia consumption,MJ,0.044,0.02,for detailed calculations see excel-electricity-JV 
Electricity Slovakia production,MJ,0.041,0.02,for detailed calculations see excel-electricity-JV 
Electricity Slovenia (2019),MJ,0.082,0.02,for detailed calculations see Global Market Mix excel 
Electricity Slovenia consumption,MJ,0.071,0.02,for detailed calculations see excel-electricity-JV 
Electricity Slovenia production,MJ,0.07,0.02,for detailed calculations see excel-electricity-JV 
