Impact factor,Unit,Carbon footprint (kg CO2e),Eco-costs(euro),Source
ABS (Acrylonitrile butadiene styrene) waste incineration wit,kg,1.424,0.19,"HEATS OF COMBUSTION OF HIGH TEMPERATURE POLYMERS. Richard N. Walters*, Stacey M. Hackett* and Richard E. Lyon"
ABS 30% glass fibre,kg,2.542,0.98,30% glass fibre from Idemat
"ABS, closed loop chemical upcycling credit",kg,0.302,-0.71,#VALUE!
Abura FSC/PEFC 560 (kg/m3),kg,0.261,0.06,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Abura natural forest 560 (kg/m3),kg,3.711,5.97,"for detailed calculations of input data for Simapro, see Ecocosts calculations wood 2022.xlsx at https://www.ecocostsvalue.com/lca/wood-lca-issues/"
Acetic acid,kg,1.016,0.19,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Acetic acid trade mix,kg,1.958,0.29,"Market mix is confidential information of a manufacturer. Monsanto process and fermentation info from Otto Hromatka and Heinrich Ebner (1959). ""Vinegar by Submerged Oxidative Fermentation"". Ind. Eng. Chem. 51 (10): 1279 –1280. doi:10.1021/ie50598a033.  "
Acetic anhydride,kg,2.514,0.4,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Acetic Anhydride trade mix,kg,1.878,0.75,"64% methyl acetate carbonylation (Halcon), 36% Ketene route; information manufacturer US and Europe"
"Acetic Anhydride, Halcon process",kg,0.957,0.6,#VALUE!
"Acetic Anhydride, Ketene process",kg,3.515,1,confidential information from supplier
Acetone,kg,1.64,0.26,0
Acetone (2),kg,1.015,0.19,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
Acetonitrile from propylene ammoxidation,kg,3.742,0.79,Sutter J. Life Cycle Inventories of Petrochemical Solvents. Data v2.0. Uster December 2007. Research gate. https://www.researchgate.net/publication/313054728_Life_Cycle_Inventories_of_Petrochemical_Solvents_Data_v20_Uster_2007
"Acetylated Radiata pine = durable wood, s.g. 510 kg/m3 (Neth",kg,0.463,0.23,"Norwegian EPD of Accoya, case ""system expansion"" https://www.accoya.com/app/uploads/2020/05/Environmental-Product-Declaration-%E2%80%93-cladding-decking-planed-timber-%E2%80%93-EN-15804.pdf"
