Product,Category,Total kg CO2e/kg,Data sources
Potato flour,Vegetables and vegetable products,1.6,Data on inputs and outputs of the food processing industry is modelled using: Nemecek et al. (2007).
"Peas, green, canned",Vegetables and vegetable products,2.23,Data on inputs and outputs of the food processing industry is modelled using: Carlsson-Kanyama and Faist (2000).
Soya sauce,Seasonings and spices,1.64,Data on inputs and outputs of the food processing industry is modelled using: Ariza (2020ad); Open Food Facts (2020); Andersson et al. (1998); FAO (2012).
"Sauce, barbeque",Seasonings and spices,2.09,Data on inputs and outputs of the food processing industry is modelled using: Tasty (2020b); Andersson et al. (1998).
"Wine, white, average values","Wine, beer and spirits",1.74,"Data on inputs and outputs of the food processing industry is modelled using: Aranda et al. (2005); Gazulla et al. (2010); Vázquez-Rowe et al. (2012, 2013); Point et al. (2012); Ardente et al. (2006); Benedetto (2013); Carta (2009); Bosco et al. (2011); Barry (2011); Neto et al. (2013)."
"Wine, rosé","Wine, beer and spirits",1.74,"Data on inputs and outputs of the food processing industry is modelled using: Aranda et al. (2005); Gazulla et al. (2010); Vázquez-Rowe et al. (2012, 2013); Point et al. (2012); Ardente et al. (2006); Benedetto (2013); Carta (2009); Bosco et al. (2011); Barry (2011); Neto et al. (2013)."
"Wine, red","Wine, beer and spirits",1.74,"Data on inputs and outputs of the food processing industry is modelled using: Aranda et al. (2005); Gazulla et al. (2010); Vázquez-Rowe et al. (2012, 2013); Point et al. (2012); Ardente et al. (2006); Benedetto (2013); Carta (2009); Bosco et al. (2011); Barry (2011); Neto et al. (2013)."
"Wine, white, sparkling, champagne","Wine, beer and spirits",1.74,"Data on inputs and outputs of the food processing industry is modelled using: Aranda et al. (2005); Gazulla et al. (2010); Vázquez-Rowe et al. (2012, 2013); Point et al. (2012); Ardente et al. (2006); Benedetto (2013); Carta (2009); Bosco et al. (2011); Barry (2011); Neto et al. (2013)."
"Yeast, baker`s, compressed",Bread and bakery products,1.41,Data on inputs and outputs of the food processing industry is modelled using: Muñoz et al. (2015).
"Pork, cocktail sausages",Meat and poultry,2.13,Data on inputs and outputs of the food processing industry is modelled using: Davis and Sonesson (2008).
Pesto,Seasonings and spices,4.42,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020q); Hetherington et al. (2012).
"Lasagne, beef, ready meals",Ready meals,10.17,Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009); Puck (2020); Pequerecetas (2020).
"Lasagne, vegetarian, ready meals",Ready meals,1.55,Data on inputs and outputs of the food processing industry is modelled using: DEFRA (2009); Puck (2020); Pequerecetas (2020).
"Daal, ready meals",Ready meals,1.95,Data on inputs and outputs of the food processing industry is modelled using: Milà i Canals et al. (2010).
"Sushi, ready meals",Ready meals,2.3,Data on inputs and outputs of the food processing industry is modelled using: Open Food Facts (2020ae); Blengini and Busto (2009).
"Chicken, minced",Meat and poultry,5.62,Data on inputs and outputs of the food processing industry is modelled using: Australian Chicken Meat Federation (2020) Common Cuts of Raw Chicken. https://www.chicken.org.au/chicken-cuts/.
Pizza dough,Bread and bakery products,0.88,Data on inputs and outputs of the food processing industry is modelled using: Epicurious (2012).
"Fresh pasta, fettucine spinach",Cereals and cereal products,1.28,Data on inputs and outputs of the food processing industry is modelled using: Bevilacqua et al. (2007); Open Food Facts (2020af).
Tuna salad,Seasonings and spices,2.36,Data on inputs and outputs of the food processing industry is modelled using: ADEME (2020d); BilkaToGo (2020d); Christian Chefs International (2020).
