heading,short number, Simapro group,Unit,Process,Total eco-cost (euro),kgCO2e,,,
chemicals,A.030.02.105,"Materials, chemicals, acids inorganic ",kg ,Boric acid,1.977162652,10.01851203,,,
chemicals,A.030.04.101,"Materials, chemicals, acids organic                                                                     ",kg ,Acetic acid trade mix,0.329885005,2.208157519,,,
chemicals,A.030.04.102,"Materials, chemicals, acids organic                                                                     ",kg ,Acetic Anhydride trade mix,0.781605228,2.117733684,,,
chemicals,A.030.04.103,"Materials, chemicals, acids organic                                                                     ",kg ,"Acetic Anhydride, Halcon process",0.623651973,1.07936203,,,
chemicals,A.030.04.104,"Materials, chemicals, acids organic                                                                     ",kg ,"Acetic Anhydride, Ketene process",1.062411017,3.963727744,,,
chemicals,A.030.04.105,"Materials, chemicals, acids organic                                                                     ",kg ,Chloroacetic acid (1),0.420891164,2.496072256,,,
chemicals,A.030.04.106,"Materials, chemicals, acids organic                                                                     ",kg ,Maleic acid,0.119655986,0.394845444,,,
chemicals,A.030.04.107,"Materials, chemicals, acids organic                                                                     ",kg ,Adipic acid,0.741602642,4.46375015,,,
chemicals,A.030.04.108,"Materials, chemicals, acids organic                                                                     ",kg ,"Methacrylic acid, copy",1.979510874,7.470351729,,,
chemicals,A.030.06.101,"Materials, chemicals, fertilisers inorganic and organic",kg ,Fertilizer-N,0.814322318,4.780433835,,,
chemicals,A.030.06.102,"Materials, chemicals, fertilisers inorganic and organic",kg ,Fertilizer-P,0.252315383,1.361981203,,,
chemicals,A.030.06.103,"Materials, chemicals, fertilisers inorganic and organic",kg ,Fertilizer-K,0.146849372,0.872589549,,,
chemicals,A.030.08.101,"Materials, chemicals, gases ",kg ,Argon,0.370704194,2.485101429,,,
chemicals,A.030.08.102,"Materials, chemicals, gases ",kg ,"Carbon dioxide, liquid",0.086491673,0.54380882,,,
chemicals,A.030.08.103,"Materials, chemicals, gases ",kg ,Carbon monoxide,0.288491206,1.572943985,,,
chemicals,A.030.08.104,"Materials, chemicals, gases ",kg ,Chlorine (US 2011),0.149518186,0.831874737,,,
chemicals,A.030.08.105,"Materials, chemicals, gases ",kg ,Chlorine (Plasticseurope 2013),0.206712975,1.015037594,,,
chemicals,A.030.08.106,"Materials, chemicals, gases ",kg ,Chlorine (European Chlor-Alkali Industry 2022),0.141074598,0.80075188,,,
chemicals,A.030.08.107,"Materials, chemicals, gases ",kg ,"Chlorine (average of USLCI, Plasticseurope, EU chlor-alkali ind.)",0.165768587,0.882554737,,,
chemicals,A.030.08.108,"Materials, chemicals, gases ",kg ,"Hydrogen, methane to hydrogen (SMR)",1.982105655,13.27059925,,,
chemicals,A.030.08.109,"Materials, chemicals, gases ",kg ,"Nitrogen, liquid",0.04642347,0.266396053,,,
chemicals,A.030.08.110,"Materials, chemicals, gases ",kg ,"Oxigen, liquid",0.067732384,0.389805556,,,
chemicals,A.030.10.101,"Materials, chemicals, inorganic ",kg ,Ammonia,0.351574873,2.642956992,,,
chemicals,A.030.10.103,"Materials, chemicals, inorganic ",kg ,Carbon black,0.700615996,3.664706316,,,
chemicals,A.030.10.105,"Materials, chemicals, inorganic ",kg ,Cobalt oxide (CoO),26.45279638,5.660131579,,,
chemicals,A.030.10.106,"Materials, chemicals, inorganic ",kg ,Graphite for batteries,2.757128432,10.32144737,,,
chemicals,A.030.10.107,"Materials, chemicals, inorganic ",kg ,"H2O2, hydrogen peroxide, 70% in H2O",0.090018374,0.602318872,,,
