_name_key,_unit_key,_factor_key,duplicate_group_rows,duplicate_sources,duplicate_years,duplicate_source_depts,duplicate_group_key
硝酸銨,kg,1.76,2,MOENV CFP | Taiwan EPA,2015,經濟部工業局「103年製造業產品碳足跡輔導與推廣計畫」,硝酸銨 | kg | 1.76
直棒鋼,kg,2.702,2,MOENV CFP | Taiwan EPA,2013,中國鋼鐵股份有限公司,直棒鋼 | kg | 2.702
養殖文蛤,kg,4.87,2,MOENV CFP | Taiwan EPA,2015,行政院農業委員會漁業署,養殖文蛤 | kg | 4.87
8mm裸銅線（SCR銅）,kg,4.13,2,MOENV CFP | Taiwan EPA,2018,環境部,8mm裸銅線（SCR銅） | kg | 4.13
8mm裸銅線（無氧銅）,kg,5.13,2,MOENV CFP | Taiwan EPA,2018,環境部,8mm裸銅線（無氧銅） | kg | 5.13
ABS再生塑膠粒,kg,0.57,2,MOENV CFP | Taiwan EPA,2019,宏盛環保科技股份有限公司,ABS再生塑膠粒 | kg | 0.57
AB楞紙箱(3層2浪),m2,1.19,2,MOENV CFP | Taiwan EPA,2017,環境部,AB楞紙箱(3層2浪) | m2 | 1.19
AOS界面活性劑,kg,1.4,2,MOENV CFP | Taiwan EPA,2023,環境部,AOS界面活性劑 | kg | 1.4
3.03mm裸銅線（SCR銅）,kg,4.16,2,MOENV CFP | Taiwan EPA,2018,環境部,3.03mm裸銅線（SCR銅） | kg | 4.16
石英晶體諧振器車用電子零件(AB系列),顆,0.09,2,MOENV CFP | Taiwan EPA,2014,台灣晶技股份有限公司,石英晶體諧振器車用電子零件(AB系列) | 顆 | 0.09
不鏽鋼置物毛巾架(9322S，雙管),kg,10.19,2,MOENV CFP | Taiwan EPA,2015,環境部、朝盟股份有限公司,不鏽鋼置物毛巾架(9322S，雙管) | kg | 10.19
鹽酸，32％(工業級，直接化合法),kg,0.5627,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,鹽酸，32％(工業級，直接化合法) | kg | 0.5627
黑麻油(500 ml),瓶,2.53,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局,黑麻油(500 ml) | 瓶 | 2.53
黑麻油(300 ml),瓶,1.38,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局,黑麻油(300 ml) | 瓶 | 1.38
黑咖啡,杯,0.304,2,MOENV CFP | Taiwan EPA,2020,環境部,黑咖啡 | 杯 | 0.304
麵線,包,1.24,2,MOENV CFP | Taiwan EPA,2017,合進商行關廟廠、臺南市政府環境保護局,麵線 | 包 | 1.24
麵粉,kg,0.531,2,MOENV CFP | Taiwan EPA,2016,衛生福利部食品藥物管理署,麵粉 | kg | 0.531
麵條,kg,1.24,2,MOENV CFP | Taiwan EPA,2017,合進商行關廟廠、臺南市政府環境保護局,麵條 | kg | 1.24
矽酸鈉,kg,1.0,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,矽酸鈉 | kg | 1.0
矽藻土,kg,1.02,2,MOENV CFP | Taiwan EPA,2015,經濟部工業局「103年製造業產品碳足跡輔導與推廣計畫」,矽藻土 | kg | 1.02
鹽酸，37％,kg,1.69,2,MOENV CFP | Taiwan EPA,2014,經濟部工業局,鹽酸，37％ | kg | 1.69
鹽酸，32％（工業級，廢氣/廢液焚化回收法）,kg,0.1412,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,鹽酸，32％（工業級，廢氣/廢液焚化回收法） | kg | 0.1412
鹽酸，32％(電子級),kg,0.68,2,MOENV CFP | Taiwan EPA,2015,環境部,鹽酸，32％(電子級) | kg | 0.68
鳳梨酥,顆,0.194,2,MOENV CFP | Taiwan EPA,2020,舊振南食品股份有限公司,鳳梨酥 | 顆 | 0.194
石英晶體諧振器車用電子零件(AM系列),顆,0.09,2,MOENV CFP | Taiwan EPA,2014,台灣晶技股份有限公司,石英晶體諧振器車用電子零件(AM系列) | 顆 | 0.09
鰹魚柴魚花,kg,3.82,2,MOENV CFP | Taiwan EPA,2017,衛生福利部食品藥物管理署,鰹魚柴魚花 | kg | 3.82
鯖魚柴魚花,kg,3.63,2,MOENV CFP | Taiwan EPA,2017,衛生福利部食品藥物管理署,鯖魚柴魚花 | kg | 3.63
鮮蛋,顆,0.28,2,MOENV CFP | Taiwan EPA,2015,石安牧場,鮮蛋 | 顆 | 0.28
鮮乳,kg,2.48,2,MOENV CFP | Taiwan EPA,2017,金門縣畜產試驗所,鮮乳 | kg | 2.48
石質地磚,kg,4.5,2,MOENV CFP | Taiwan EPA,2015,宏洲窯業股份有限公司,石質地磚 | kg | 4.5
石蠟,kg,1.31,2,MOENV CFP | Taiwan EPA,2017,環境部,石蠟 | kg | 1.31
高規電磁鋼捲,kg,3.086,2,MOENV CFP | Taiwan EPA,2013,中國鋼鐵股份有限公司,高規電磁鋼捲 | kg | 3.086
高粱酒(58度，600ml),瓶,4.0,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局、成大酒廠股份有限公司,高粱酒(58度，600ml) | 瓶 | 4.0
1-丁醇,kg,2.93,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,1-丁醇 | kg | 2.93
高粱酒(50％，600ml),瓶,5.5,2,MOENV CFP | Taiwan EPA,2018,馬祖酒廠實業股份有限公司南竿廠,高粱酒(50％，600ml) | 瓶 | 5.5
1馬力磁力驅動無軸封泵浦(不含馬達),台,78.01,2,MOENV CFP | Taiwan EPA,2016,協磁股份有限公司,1馬力磁力驅動無軸封泵浦(不含馬達) | 台 | 78.01
硝酸銨鈣(肥料用),kg,1.8,2,MOENV CFP | Taiwan EPA,2016,經濟部工業局,硝酸銨鈣(肥料用) | kg | 1.8
硝酸，98％,kg,1.37,2,MOENV CFP | Taiwan EPA,2016,環境部,硝酸，98％ | kg | 1.37
養殖冷凍白蝦,kg,9.37,2,MOENV CFP | Taiwan EPA,2015,行政院農業委員會漁業署,養殖冷凍白蝦 | kg | 9.37
三聚氰胺樹脂,kg,3.87,2,MOENV CFP | Taiwan EPA,2014,經濟部工業局,三聚氰胺樹脂 | kg | 3.87
丁二烯,kg,1.75,2,MOENV CFP | Taiwan EPA,2015,環境部,丁二烯 | kg | 1.75
