_name_key,_unit_key,_factor_key,duplicate_group_rows,duplicate_sources,duplicate_years,duplicate_source_depts,duplicate_group_key
廢溶劑（A、C、D類）蒸餾回收處理服務,kg,0.8132,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,廢溶劑（A、C、D類）蒸餾回收處理服務 | kg | 0.8132
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率22％),m3,464.0,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率22％) | m3 | 464.0
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率45％),m3,336.0,2,MOENV CFP | Taiwan EPA,2017,公路總局蘇花公路改善工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率45％) | m3 | 336.0
猴頭菇素火腿,條,2.43,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局,猴頭菇素火腿 | 條 | 2.43
晶片電阻,kg,170.0,2,MOENV CFP | Taiwan EPA,2017,環境部,晶片電阻 | kg | 170.0
有害事業廢棄物穩定化/固化處理服務,kg,0.29,2,MOENV CFP | Taiwan EPA,2015,環境部,有害事業廢棄物穩定化/固化處理服務 | kg | 0.29
有機三星蔥,kg,0.558,2,MOENV CFP | Taiwan EPA,2017,宜蘭縣政府環境保護局,有機三星蔥 | kg | 0.558
有機全麥粉,kg,1.39,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機全麥粉 | kg | 1.39
有機小麥粉,kg,1.4,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機小麥粉 | kg | 1.4
有機裸麥土司(常溫),kg,1.66,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機裸麥土司(常溫) | kg | 1.66
有機越光米,kg,1.59,2,MOENV CFP | Taiwan EPA,2017,宜蘭縣政府環境保護局,有機越光米 | kg | 1.59
有機麩皮胚芽粉,kg,1.36,2,MOENV CFP | Taiwan EPA,2017,經濟部中小企業處、喜願行,有機麩皮胚芽粉 | kg | 1.36
木漿(針葉樹化學木漿-半漂白或已漂白),kg,0.93,2,MOENV CFP | Taiwan EPA,2016,經濟部工業局,木漿(針葉樹化學木漿-半漂白或已漂白) | kg | 0.93
未塗布印刷書寫用紙,kg,1.377,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,未塗布印刷書寫用紙 | kg | 1.377
未漂白牛皮紙袋和麻袋用紙,kg,1.24,2,MOENV CFP | Taiwan EPA,2017,環境部,未漂白牛皮紙袋和麻袋用紙 | kg | 1.24
未精煉銅(供電解法精煉用之陽極銅),kg,7.59,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,未精煉銅(供電解法精煉用之陽極銅) | kg | 7.59
柳橙汁(寶特瓶裝，450ml),瓶,0.254,2,MOENV CFP | Taiwan EPA,2017,環境部,柳橙汁(寶特瓶裝，450ml) | 瓶 | 0.254
車用汽油(於移動源使用，2022),公升(l),2.93,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,車用汽油(於移動源使用，2022) | 公升(l) | 2.93
牛皮紙,kg,1.08,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,牛皮紙 | kg | 1.08
營養麵條,包,7.26,2,MOENV CFP | Taiwan EPA,2017,合進商行關廟廠、台南市政府環境保護局,營養麵條 | 包 | 7.26
磷酸，85％,kg,4.65,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,磷酸，85％ | kg | 4.65
積層陶瓷電容,kg,334.0,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,積層陶瓷電容 | kg | 334.0
柴油(於公路運輸移動源使用，2022),公升(l),3.324,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(於公路運輸移動源使用，2022) | 公升(l) | 3.324
竹炭片(以土窯生產),kg,0.384,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹炭片(以土窯生產) | kg | 0.384
竹炭片(以機械窯生產),kg,0.762,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹炭片(以機械窯生產) | kg | 0.762
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率25％),m3,443.0,2,MOENV CFP | Taiwan EPA,2017,公路總局蘇花公路改善工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率25％) | m3 | 443.0
早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率20％),m3,431.0,2,MOENV CFP | Taiwan EPA,2017,公路總局蘇花公路改善工程處,早強預拌混凝土(420kgf/cm2，飛灰爐石粉替代率20％) | m3 | 431.0
廢（污）水處理服務（中部科學工業園區管理局-虎尾園區）,m3,1.7,2,MOENV CFP | Taiwan EPA,2018,中欣行股份有限公司,廢（污）水處理服務（中部科學工業園區管理局-虎尾園區） | m3 | 1.7
早強預拌混凝土(420 kgf/cm2),m3,370.0,2,MOENV CFP | Taiwan EPA,2020,公路總局西部濱海公路南區臨時工程處,早強預拌混凝土(420 kgf/cm2) | m3 | 370.0
廢（污）水處理服務（高雄市楠梓污水處理廠）,m3,0.4,2,MOENV CFP | Taiwan EPA,2018,山林水環境工程股份有限公司,廢（污）水處理服務（高雄市楠梓污水處理廠） | m3 | 0.4
強化玻璃,kg,1.75,2,MOENV CFP | Taiwan EPA,2019,環境部,強化玻璃 | kg | 1.75
微藻素火腿,條,2.49,2,MOENV CFP | Taiwan EPA,2016,台南市政府環境保護局,微藻素火腿 | 條 | 2.49
意麵,包,1.13,2,MOENV CFP | Taiwan EPA,2017,合進商行關廟廠、臺南市政府環境保護局,意麵 | 包 | 1.13
球化條鋼盤元,kg,2.83,2,MOENV CFP | Taiwan EPA,2013,中國鋼鐵股份有限公司,球化條鋼盤元 | kg | 2.83
碳酸鉀,kg,1.75,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,碳酸鉀 | kg | 1.75
碳鋼冷軋鋼捲,kg,2.5,2,MOENV CFP | Taiwan EPA,2013,環境部,碳鋼冷軋鋼捲 | kg | 2.5
碳鋼鋼胚(電弧爐製程),kg,0.53,2,MOENV CFP | Taiwan EPA,2015,環境部,碳鋼鋼胚(電弧爐製程) | kg | 0.53
玻璃纖維絲,kg,2.76,2,MOENV CFP | Taiwan EPA,2014,環境部,玻璃纖維絲 | kg | 2.76
碳黑,kg,1.5,2,MOENV CFP | Taiwan EPA,2015,環境部,碳黑 | kg | 1.5
扁鋼胚,kg,2.088,2,MOENV CFP | Taiwan EPA,2013,中國鋼鐵股份有限公司,扁鋼胚 | kg | 2.088
扁鋼胚(電弧爐製程，碳鋼),kg,0.4,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,扁鋼胚(電弧爐製程，碳鋼) | kg | 0.4
抄紙(裱面紙板),kg,1.164,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,抄紙(裱面紙板) | kg | 1.164
抽取式衛生紙,包,0.402,2,MOENV CFP | Taiwan EPA,2020,正隆股份有限公司竹北廠,抽取式衛生紙 | 包 | 0.402
抽取式衛生紙(110抽),包,0.4,2,MOENV CFP | Taiwan EPA,2017,正大造紙廠股份有限公司、正隆股份有限公司竹北廠,抽取式衛生紙(110抽) | 包 | 0.4
拉麵,包,1.49,2,MOENV CFP | Taiwan EPA,2017,合進商行關廟廠、臺南市政府環境保護局,拉麵 | 包 | 1.49
控制性低強度回填材料(CLSM),m3,157.0,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,控制性低強度回填材料(CLSM) | m3 | 157.0
插電感應式水龍頭(H-4100LR),kg,16.98,2,MOENV CFP | Taiwan EPA,2015,牧新科技股份有限公司,插電感應式水龍頭(H-4100LR) | kg | 16.98
摃丸,kg,1.72,2,MOENV CFP | Taiwan EPA,2015,新宇禎福記摃丸有限公司,摃丸 | kg | 1.72
擂茶,包,3.64,2,MOENV CFP | Taiwan EPA,2017,璞鈺生技食品有限公司、新竹縣政府環境保護局,擂茶 | 包 | 3.64
新型高爐水泥(50kg，紙袋裝),包,22.97,2,MOENV CFP | Taiwan EPA,2016,中聯資源股份有限公司,新型高爐水泥(50kg，紙袋裝) | 包 | 22.97
新型高爐水泥(50公斤，紙袋裝),包,25.6,2,MOENV CFP | Taiwan EPA,2022,中聯資源股份有限公司,新型高爐水泥(50公斤，紙袋裝) | 包 | 25.6
玻璃容器,kg,1.02,2,MOENV CFP | Taiwan EPA,2014,環境部,玻璃容器 | kg | 1.02
竹炭粒(以土窯生產),kg,0.342,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹炭粒(以土窯生產) | kg | 0.342
竹炭粒(以機械窯生產),kg,0.719,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹炭粒(以機械窯生產) | kg | 0.719
竹醋液(以土窯生產),kg,0.905,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹醋液(以土窯生產) | kg | 0.905
竹醋液(以機械窯生產),kg,1.31,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會林務局,竹醋液(以機械窯生產) | kg | 1.31
精製二砂(25公斤),kg,28.9,2,MOENV CFP | Taiwan EPA,2022,台灣糖業股份有限公司小港廠,精製二砂(25公斤) | kg | 28.9
豆漿(450ml，鋁箔包裝),盒,0.16,2,MOENV CFP | Taiwan EPA,2016,統一企業股份有限公司,豆漿(450ml，鋁箔包裝) | 盒 | 0.16
調質鋼車用鍛造件,kg,5.7,2,MOENV CFP | Taiwan EPA,2017,金鍛工業股份有限公司、中國鋼鐵股份有限公司,調質鋼車用鍛造件 | kg | 5.7
記憶體積體電路,kg,570.0,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,記憶體積體電路 | kg | 570.0
角紙,kg,1.14,2,MOENV CFP | Taiwan EPA,2017,環境部,角紙 | kg | 1.14
精製二砂(25公斤),包,14.67,2,MOENV CFP | Taiwan EPA,2014,台灣糖業公司,精製二砂(25公斤) | 包 | 14.67
裱面紙板,kg,1.6,2,MOENV CFP | Taiwan EPA,2023,環境部,裱面紙板 | kg | 1.6
表面白紙板,kg,0.32,2,MOENV CFP | Taiwan EPA,2019,環境部,表面白紙板 | kg | 0.32
精製特砂(25公斤),kg,28.9,2,MOENV CFP | Taiwan EPA,2022,台灣糖業股份有限公司小港廠,精製特砂(25公斤) | kg | 28.9
螺絲(含球化與表面皮膜處理及電鍍),kg,3.41,2,MOENV CFP | Taiwan EPA,2016,環境部,螺絲(含球化與表面皮膜處理及電鍍) | kg | 3.41
螺絲(不含球化、表面皮膜處理與電鍍),kg,3.37,2,MOENV CFP | Taiwan EPA,2016,環境部,螺絲(不含球化、表面皮膜處理與電鍍) | kg | 3.37
蛋白質護髮霜,瓶,1.54,2,MOENV CFP | Taiwan EPA,2017,昇宏國際企業股份有限公司,蛋白質護髮霜 | 瓶 | 1.54
精製特砂(50公斤),kg,57.7,2,MOENV CFP | Taiwan EPA,2022,台灣糖業股份有限公司小港廠,精製特砂(50公斤) | kg | 57.7
精製特砂(50公斤),包,29.6,2,MOENV CFP | Taiwan EPA,2014,台灣糖業公司,精製特砂(50公斤) | 包 | 29.6
蔭豆豉,kg,1.57,2,MOENV CFP | Taiwan EPA,2019,衛生福利部食品藥物管理署,蔭豆豉 | kg | 1.57
蔭油膏,kg,1.01,2,MOENV CFP | Taiwan EPA,2019,衛生福利部食品藥物管理署,蔭油膏 | kg | 1.01
蔗糖,kg,0.37,2,MOENV CFP | Taiwan EPA,2016,環境部,蔗糖 | kg | 0.37
葵花油,kg,5.78,2,MOENV CFP | Taiwan EPA,2017,環境部,葵花油 | kg | 5.78
柴油(未燃燒，2022),公升(l),0.677,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(未燃燒，2022) | 公升(l) | 0.677
落花生,kg,0.68,2,MOENV CFP | Taiwan EPA,2017,行政院農業委員會農業試驗所,落花生 | kg | 0.68
精製細砂(25公斤),kg,28.9,2,MOENV CFP | Taiwan EPA,2022,台灣糖業股份有限公司小港廠,精製細砂(25公斤) | kg | 28.9
精製細砂(25公斤),包,15.47,2,MOENV CFP | Taiwan EPA,2014,台灣糖業公司,精製細砂(25公斤) | 包 | 15.47
精製豬油,kg,0.785,2,MOENV CFP | Taiwan EPA,2018,衛生福利部食品藥物管理署、統清股份有限公司台南廠,精製豬油 | kg | 0.785
柴油(於鐵路運輸與非道路運輸移動源使用，2022),公升(l),3.562,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(於鐵路運輸與非道路運輸移動源使用，2022) | 公升(l) | 3.562
豬肉,kg,36.9,2,MOENV CFP | Taiwan EPA,2017,祥圃實業股份有限公司,豬肉 | kg | 36.9
豬肉(不帶骨),kg,37.1,2,MOENV CFP | Taiwan EPA,2017,祥圃實業股份有限公司,豬肉(不帶骨) | kg | 37.1
粗級配瀝青混凝土(1”),kg,0.0894,2,MOENV CFP | Taiwan EPA,2019,公路總局蘇花公路改善工程處,粗級配瀝青混凝土(1”) | kg | 0.0894
車用汽油(於固定源使用，2022),公升(l),2.879,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,車用汽油(於固定源使用，2022) | 公升(l) | 2.879
燃料油未燃燒(蒸餘油/重油未燃燒，2022),公升(l),0.7687,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,燃料油未燃燒(蒸餘油/重油未燃燒，2022) | 公升(l) | 0.7687
燃料油使用(蒸餘油/重油使用，2022),公升(l),3.889,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,燃料油使用(蒸餘油/重油使用，2022) | 公升(l) | 3.889
燃料油（未燃燒，泰國，2005）,kg,0.305,2,MOENV CFP | Taiwan EPA,2018,－－－,燃料油（未燃燒，泰國，2005） | kg | 0.305
筆記型電腦(11.6吋),台,81.0,2,MOENV CFP | Taiwan EPA,2016,環境部、宏碁股份有限公司、廣達電腦股份有限公司,筆記型電腦(11.6吋) | 台 | 81.0
筆記型電腦包裝紙箱(三層一浪),piece,0.53,2,MOENV CFP | Taiwan EPA,2016,環境部、宏碁股份有限公司,筆記型電腦包裝紙箱(三層一浪) | piece | 0.53
筆記型電腦照相機模組,piece,0.41,2,MOENV CFP | Taiwan EPA,2016,環境部、宏碁股份有限公司,筆記型電腦照相機模組 | piece | 0.41
筆記型電腦鍵盤,piece,0.89,2,MOENV CFP | Taiwan EPA,2016,環境部、宏碁股份有限公司,筆記型電腦鍵盤 | piece | 0.89
筆記型電腦電源線(含插頭端),條,0.68,2,MOENV CFP | Taiwan EPA,2016,環境部、宏碁股份有限公司,筆記型電腦電源線(含插頭端) | 條 | 0.68
柴油(於固定源使用，2022),公升(l),3.292,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(於固定源使用，2022) | 公升(l) | 3.292
柴油(於捕撈移動源使用，2022),公升(l),3.299,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(於捕撈移動源使用，2022) | 公升(l) | 3.299
豬肋排(帶骨50％),kg,36.4,2,MOENV CFP | Taiwan EPA,2017,祥圃實業股份有限公司,豬肋排(帶骨50％) | kg | 36.4
粗級配瀝青混凝土(混和料比例0％),kg,0.0777,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,粗級配瀝青混凝土(混和料比例0％) | kg | 0.0777
粗級配瀝青混凝土(混和料比例1.9％),kg,0.0968,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,粗級配瀝青混凝土(混和料比例1.9％) | kg | 0.0968
柴油(於水路運輸移動源使用，2022),公升(l),3.309,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,柴油(於水路運輸移動源使用，2022) | 公升(l) | 3.309
粗級配瀝青混凝土(混和料比例2.4％),kg,0.101,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,粗級配瀝青混凝土(混和料比例2.4％) | kg | 0.101
粗級配瀝青混凝土(混和料比例2.9％),kg,0.129,2,MOENV CFP | Taiwan EPA,2020,公路總局西部濱海公路南區臨時工程處,粗級配瀝青混凝土(混和料比例2.9％) | kg | 0.129
精力湯,包,3.47,2,MOENV CFP | Taiwan EPA,2017,璞鈺生技食品有限公司、新竹縣政府環境保護局,精力湯 | 包 | 3.47
精緻牛油,kg,0.694,2,MOENV CFP | Taiwan EPA,2018,衛生福利部食品藥物管理署、統清股份有限公司台南廠,精緻牛油 | kg | 0.694
精華霜,罐,0.55,2,MOENV CFP | Taiwan EPA,2020,環境部,精華霜 | 罐 | 0.55
貼片電容,kg,101.0,2,MOENV CFP | Taiwan EPA,2018,經濟部工業局,貼片電容 | kg | 101.0
豬肋排(骨頭100％),kg,36.7,2,MOENV CFP | Taiwan EPA,2017,祥圃實業股份有限公司,豬肋排(骨頭100％) | kg | 36.7
廢（污）水處理服務（臺南市政府水利局柳營區水資源回收中心）,m3,0.5,2,MOENV CFP | Taiwan EPA,2018,惠民實業股份有限公司,廢（污）水處理服務（臺南市政府水利局柳營區水資源回收中心） | m3 | 0.5
廢（污）水處理服務（中部科學工業園區台中園區污水處理廠）,m3,0.45,2,MOENV CFP | Taiwan EPA,2018,山林水環境工程股份有限公司,廢（污）水處理服務（中部科學工業園區台中園區污水處理廠） | m3 | 0.45
大捲筒衛生紙,捲,1.8,2,MOENV CFP | Taiwan EPA,2017,正大造紙廠股份有限公司,大捲筒衛生紙 | 捲 | 1.8
天然氣(於固定源使用，2020),m3,2.63,2,MOENV CFP | Taiwan EPA,2022,環境部,天然氣(於固定源使用，2020) | m3 | 2.63
天然氣(於固定源使用，2022),m3,2.643,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,天然氣(於固定源使用，2022) | m3 | 2.643
天然氣(未燃燒，2018),m3,0.469,2,MOENV CFP | Taiwan EPA,2020,環境部,天然氣(未燃燒，2018) | m3 | 0.469
天然氣(未燃燒，2019),m3,0.451,2,MOENV CFP | Taiwan EPA,2021,環境部,天然氣(未燃燒，2019) | m3 | 0.451
天然氣(未燃燒，2020),m3,0.516,2,MOENV CFP | Taiwan EPA,2022,環境部,天然氣(未燃燒，2020) | m3 | 0.516
天然氣(未燃燒，2021),m3,0.519,2,MOENV CFP | Taiwan EPA,2023,環境部,天然氣(未燃燒，2021) | m3 | 0.519
天然氣(未燃燒，2022),m3,0.5313,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,天然氣(未燃燒，2022) | m3 | 0.5313
重鉻酸鉀,kg,4.09,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,重鉻酸鉀 | kg | 4.09
重質鋅氧粉,kg,4.830878,2,MOENV CFP | Taiwan EPA,2014,環境部,重質鋅氧粉 | kg | 4.830878
太陽光電模組發電(10KW，2014),kwh,0.00998,2,MOENV CFP | Taiwan EPA,2016,經濟部能源局、陽光屋頂百萬座計畫推動辦公室,太陽光電模組發電(10KW，2014) | kwh | 0.00998
太陽光電電場發電,kwh,0.00961,2,MOENV CFP | Taiwan EPA,2023,經濟部標準檢驗局,太陽光電電場發電 | kwh | 0.00961
太陽能LED燈具,盞,447.0,2,MOENV CFP | Taiwan EPA,2022,環境部,太陽能LED燈具 | 盞 | 447.0
重質燃料油（未燃燒，韓國，1998）,kg,0.325,2,MOENV CFP | Taiwan EPA,2018,－－－,重質燃料油（未燃燒，韓國，1998） | kg | 0.325
奶茶(250ml，鋁箔包裝),包,0.11,2,MOENV CFP | Taiwan EPA,2016,統一企業股份有限公司,奶茶(250ml，鋁箔包裝) | 包 | 0.11
醬油(黑豆釀造),kg,2.22,2,MOENV CFP | Taiwan EPA,2015,衛生福利部食品藥物管理署,醬油(黑豆釀造) | kg | 2.22
奶茶(300ml，鋁箔包裝),包,0.13,2,MOENV CFP | Taiwan EPA,2016,統一企業股份有限公司,奶茶(300ml，鋁箔包裝) | 包 | 0.13
醬油(黃豆釀造),kg,1.68,2,MOENV CFP | Taiwan EPA,2015,衛生福利部食品藥物管理署,醬油(黃豆釀造) | kg | 1.68
奶茶(375ml，鋁箔包裝),包,0.16,2,MOENV CFP | Taiwan EPA,2016,統一企業股份有限公司,奶茶(375ml，鋁箔包裝) | 包 | 0.16
醬油(高蛋白豆片釀造),kg,849.88,2,MOENV CFP | Taiwan EPA,2015,衛生福利部食品藥物管理署,醬油(高蛋白豆片釀造) | kg | 849.88
客家桔醬,瓶,0.5,2,MOENV CFP | Taiwan EPA,2017,阿金姐工作坊,客家桔醬 | 瓶 | 0.5
客船服務（台東富岡-綠島）,每人次,11.6,2,MOENV CFP | Taiwan EPA,2018,經濟部中小企業處,客船服務（台東富岡-綠島） | 每人次 | 11.6
醋酸乙烯酯共聚物,kg,2.1258,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,醋酸乙烯酯共聚物 | kg | 2.1258
醋酸乙烯單體,kg,3.31,2,MOENV CFP | Taiwan EPA,2015,環境部,醋酸乙烯單體 | kg | 3.31
密級配瀝青混凝土(1”/2),kg,0.0834,2,MOENV CFP | Taiwan EPA,2019,公路總局蘇花公路改善工程處,密級配瀝青混凝土(1”/2) | kg | 0.0834
天然氣(於固定源使用，2021),m3,2.63,2,MOENV CFP | Taiwan EPA,2023,環境部,天然氣(於固定源使用，2021) | m3 | 2.63
天然氣(於固定源使用，2019),m3,2.56,2,MOENV CFP | Taiwan EPA,2021,環境部,天然氣(於固定源使用，2019) | m3 | 2.56
廢溶劑（不分類別）蒸餾回收處理服務,kg,0.5886,2,MOENV CFP | Taiwan EPA/MOE,2025,環境部氣候變遷署,廢溶劑（不分類別）蒸餾回收處理服務 | kg | 0.5886
天然氣(於固定源使用，2018),m3,2.58,2,MOENV CFP | Taiwan EPA,2020,環境部,天然氣(於固定源使用，2018) | m3 | 2.58
大豆沙拉油 (18 L),桶,27.7,2,MOENV CFP | Taiwan EPA,2016,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油 (18 L) | 桶 | 27.7
大豆沙拉油 (18 kg),桶,30.4,2,MOENV CFP | Taiwan EPA,2016,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油 (18 kg) | 桶 | 30.4
大豆沙拉油 (2 L),瓶,3.07,2,MOENV CFP | Taiwan EPA,2016,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油 (2 L) | 瓶 | 3.07
大豆沙拉油 (2.6 L),瓶,3.87,2,MOENV CFP | Taiwan EPA,2016,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油 (2.6 L) | 瓶 | 3.87
大豆沙拉油 (3 L),瓶,4.45,2,MOENV CFP | Taiwan EPA,2016,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油 (3 L) | 瓶 | 4.45
大豆沙拉油（0.6L）,瓶,1.0,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（0.6L） | 瓶 | 1.0
大豆沙拉油（18L）,桶,30.0,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（18L） | 桶 | 30.0
大豆沙拉油（19.56L）,桶,32.0,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（19.56L） | 桶 | 32.0
大豆沙拉油（1L）,瓶,1.7,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（1L） | 瓶 | 1.7
大豆沙拉油（2.6L）,瓶,4.5,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（2.6L） | 瓶 | 4.5
大豆沙拉油（2L）,瓶,3.4,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（2L） | 瓶 | 3.4
大豆沙拉油（3L）,瓶,5.0,2,MOENV CFP | Taiwan EPA,2019,環境部、台灣糖業股份有限公司小港廠,大豆沙拉油（3L） | 瓶 | 5.0
大鋼胚,kg,2.267,2,MOENV CFP | Taiwan EPA,2013,中國鋼鐵股份有限公司,大鋼胚 | kg | 2.267
綠茶擂茶,包,4.5,2,MOENV CFP | Taiwan EPA,2017,璞鈺生技食品有限公司、新竹縣政府環境保護局,綠茶擂茶 | 包 | 4.5
天然橡膠(乳膠),kg,2.71,2,MOENV CFP | Taiwan EPA,2017,經濟部工業局,天然橡膠(乳膠) | kg | 2.71
瓶裝水（600ml，PET包裝）,瓶,0.153,2,MOENV CFP | Taiwan EPA,2018,味丹企業股份有限公司,瓶裝水（600ml，PET包裝） | 瓶 | 0.153
金,kg,11.1046,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,金 | kg | 11.1046
天然氣(於固定源使用，2012),m3,2.52,2,MOENV CFP | Taiwan EPA,2014,環境部,天然氣(於固定源使用，2012) | m3 | 2.52
天然氣(於固定源使用，2013),m3,2.59,2,MOENV CFP | Taiwan EPA,2015,環境部,天然氣(於固定源使用，2013) | m3 | 2.59
天然氣(於固定源使用，2014),m3,2.61,2,MOENV CFP | Taiwan EPA,2016,環境部,天然氣(於固定源使用，2014) | m3 | 2.61
天然氣(於固定源使用，2015),m3,2.61,2,MOENV CFP | Taiwan EPA,2017,環境部,天然氣(於固定源使用，2015) | m3 | 2.61
天然氣(於固定源使用，2016),m3,2.6,2,MOENV CFP | Taiwan EPA,2018,環境部,天然氣(於固定源使用，2016) | m3 | 2.6
天然氣(於固定源使用，2017),m3,2.6,2,MOENV CFP | Taiwan EPA,2019,環境部,天然氣(於固定源使用，2017) | m3 | 2.6
醇酸樹脂,kg,3.18,2,MOENV CFP | Taiwan EPA,2016,財團法人工業技術研究院,醇酸樹脂 | kg | 3.18
酚醛樹脂,kg,2.5,2,MOENV CFP | Taiwan EPA,2015,環境部,酚醛樹脂 | kg | 2.5
密級配瀝青混凝土(3”/4),kg,0.0875,2,MOENV CFP | Taiwan EPA,2019,公路總局蘇花公路改善工程處,密級配瀝青混凝土(3”/4) | kg | 0.0875
密級配瀝青混凝土(混和料比例0％),kg,0.077,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,密級配瀝青混凝土(混和料比例0％) | kg | 0.077
過硫酸銨,kg,6.58,2,MOENV CFP | Taiwan EPA,2018,環境部,過硫酸銨 | kg | 6.58
過硫酸鈉,kg,14.1,2,MOENV CFP | Taiwan EPA,2018,環境部,過硫酸鈉 | kg | 14.1
過氧化氫，30％,kg,4.6657,2,MOENV CFP | Taiwan EPA,2013,經濟部工業局,過氧化氫，30％ | kg | 4.6657
瓦楞芯紙(原紙),kg,0.72,2,MOENV CFP | Taiwan EPA,2015,經濟部工業局「103年製造業產品碳足跡輔導與推廣計畫」,瓦楞芯紙(原紙) | kg | 0.72
通用級聚苯乙烯(GPPS),kg,1.97,2,MOENV CFP | Taiwan EPA,2016,環境部,通用級聚苯乙烯(GPPS) | kg | 1.97
瓦楞芯紙,kg,0.988,2,MOENV CFP | Taiwan EPA,2023,環境部,瓦楞芯紙 | kg | 0.988
瓦楞紙板(B楞),kg,0.813,2,MOENV CFP | Taiwan EPA,2023,環境部,瓦楞紙板(B楞) | kg | 0.813
瓦楞紙板(A楞),kg,1.06,2,MOENV CFP | Taiwan EPA,2023,環境部,瓦楞紙板(A楞) | kg | 1.06
瓦楞紙板(AB楞),kg,1.3,2,MOENV CFP | Taiwan EPA,2023,環境部,瓦楞紙板(AB楞) | kg | 1.3
環氧氯丙烷(醋酸丙烯酯製程),kg,8.04,2,MOENV CFP | Taiwan EPA,2018,環境部,環氧氯丙烷(醋酸丙烯酯製程) | kg | 8.04
輕質骨材混凝土(175kgf/cm2),m3,317.0,2,MOENV CFP | Taiwan EPA,2019,公路總局西部濱海公路南區臨時工程處,輕質骨材混凝土(175kgf/cm2) | m3 | 317.0
