category,code,name,is_fixed_asset,ghg_category,description
機械及設備,,伸長率計,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,拉緊系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,挺峰設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,整平機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,盤捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,刨平機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,粗整系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,翻倒機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,翻面器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,自動厚度控制系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,側導器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,虹型器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,解捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,調質軋延機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,軋輥平衡系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,四重精軋機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,邊緣護角設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,酸液再生設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,重捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,固定台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼帶緊定器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,偵測器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,03,螺栓及抽線設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,螺釘加熱爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,缺線轉轍機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,抽線機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,絞線機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,伸線機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,盤元再成型機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,邊迴機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,04,原物料貯槽設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,沉澱槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,油料儲存槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,石灰泥儲存桶,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,硫酸儲存桶,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,石灰窯,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,酸槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,儲料倉,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,儲槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,儲煤倉,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,公用儲槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,墊料倉,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,拌料倉,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,拌煤倉,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,05,浮選、研磨機械,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,取樣機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,研磨設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,篩選機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,磨床,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,軋輥車床,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼胚研磨機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,取樣站,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,拌料設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,棍磨機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,溢煤設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,焦碳破碎機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,石料回收設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,破碎機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,06,熱處理設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,保溫蓋,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,噴砂機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,廢熱回收設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,模組液面控制系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,橫推桿,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,正常化爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,淬火設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,煉焦爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,熱篩選機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,熱間排渣機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉爐保溫器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,出爐台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉爐傾轉設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,轉爐頂底吹設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼板冷卻噴霧設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼桶旋轉台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼液保溫設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鍋爐,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,閥門,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電磁攪拌機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋁線添加機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,預熱器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,分鋼槽,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,點火罩,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,分鋼槽預熱站,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,升溫設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,加熱器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,合添加機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,吹付機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,吹氧管交換設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,07,表面處理設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,導引機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,打凹器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,打樣器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,打號台,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,打邊機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,扣剪機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,毛邊刮除機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,液剪機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,焰切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,分段剪機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,端切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,端壓機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,脫脂系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,表面檢驗機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,試片打取器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,護膜解捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,貼板機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,邊切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,酸洗設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,刷洗設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,重捲切條設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼胚表面處理設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,除氧化物系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,除鏽系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,電解清洗設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,預脫脂系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剪切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剪碎機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,噴號設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,塗料循環系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,塗覆機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,壓床,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,塗油機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,分切機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,08,包裝機械及設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剝捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,包捲機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼帶打印機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,包裝機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼捲展開機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剪帶器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,包紮機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,壓擠機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,拆裝機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,測量輥,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,綁帶機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,翻轉機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,09,量測及稱重設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,剖面量測計,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,測溫顯像設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,測磚儀,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,熱偵測器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,珈瑪射線測厚計,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,皮帶稱重機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,直徑測定器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,稱重機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,紅外線偵測系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,自動控寬設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,超音波探傷機,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,平面磨床,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,輥筒檢測器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,量測儀器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼帶中心校準設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,超音波檢查儀,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼液流量設備,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,鋼液測氧系統,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,Ｘ光測厚計,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,張力偵測器,True,2,機械設備通常為固定資產，屬於 Category 2
機械及設備,,最終檢驗台,True,2,機械設備通常為固定資產，屬於 Category 2
