Record ID,原始採購／標案名稱,標準品名候選,官方財物次分類,產業分類候選,採購品類候選,Scope 3候選,採購機關,公開案號,公開日期,決標金額(元),官方回查網址,來源紀錄ID,資料狀態,人工覆核註記
RP-0229,臺中市立光明國中113學年度學校午餐公辦民營採購,臺中市立光明國中113學年度學校午餐公辦民營採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺中市立光明國民中學,11306,2024-07-01,14960000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616072.xml,BDM-1-70616072,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0230,112學年度充實資訊學習教學設備計畫-觸控電視財物採購案,112學年度充實資訊學習教學設備計畫-觸控電視財物,"收音機、電視,通訊器材及儀器",資訊電子,資訊設備／軟體,範疇3 類別1,臺中市西屯區長安國民小學,CA1130625,2024-07-01,514500,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616078.xml,BDM-1-70616078,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0231,化學試藥(後續擴充),化學試藥(後續擴充),基本化學產品,化工塑橡膠,化學品／塑橡膠,範疇3 類別1,台灣中油股份有限公司煉製研究所,E2212D009-C,2024-07-01,1925000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616095.xml,BDM-1-70616095,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0232,"台酒啤酒酵母鮮蔬脆片8,000盒議價案","台酒啤酒酵母鮮蔬脆片8,000盒議價案","穀粉,澱粉及澱粉製品;其他食品",食品農產,食品／農產,範疇3 類別1,臺灣菸酒股份有限公司屏東酒廠,113-0420-2-023,2024-07-01,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616098.xml,BDM-1-70616098,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0233,神外醫材10項二年期單價開口契約,神外醫材10項二年期單價開口契約,醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,臺中榮民總醫院,113J-10,2024-07-01,6932180,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616101.xml,BDM-1-70616101,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0234,113學年度第一學期教科書採購案,113學年度第一學期教科書,"紙漿,紙及紙產品;印刷品及相關的商品",包材印刷,紙品／印刷／包材,範疇3 類別1,臺中市立大甲高級中等學校,113121,2024-07-01,5932285,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616102.xml,BDM-1-70616102,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0235,113年中央氣象署磁帶及記憶體擴充採購案,113年中央氣象署磁帶及記憶體擴充,計算機及其零件與配件,資訊電子,資訊設備／軟體,範疇3 類別1,交通部中央氣象署,113121D,2024-07-01,3700000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616107.xml,BDM-1-70616107,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0236,考選部國家考場250RT冰水主機汰換工程案,考選部國家考場250RT冰水主機汰換工程案,結構金屬產品及其零件,金屬加工,金屬／五金,範疇3 類別1,考選部,1130001785,2024-07-01,3962871,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616120.xml,BDM-1-70616120,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0237,113年度曲棍球隊及田徑隊訓練器材採購案,113年度曲棍球隊及田徑隊訓練器材,運動商品,其他產業,其他財物,範疇3 類別1,南投縣立竹山國民中學,113-03-21-008F,2024-07-01,314975,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616128.xml,BDM-1-70616128,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0238,113學年度魚池鄉國民中小學暨水里鄉新興國小午餐及各校附設幼兒園點心食材聯合採購,113學年度魚池鄉國民中小學暨水里鄉新興國小午餐及各校附設幼兒園點心食材聯合採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,南投縣魚池鄉共和國民小學,113-05,2024-07-01,11796260,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616131.xml,BDM-1-70616131,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0239,校園監視器設備採購案,校園監視器設備,"光學儀器,攝影設備及其零件與附件",儀器光電,儀器／光學設備,範疇3 類別1,基隆市立信義國民中學,113B001,2024-07-01,350000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616132.xml,BDM-1-70616132,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0240,臺南市海佃國小113學年度師生素食午餐桶餐財務採購,臺南市海佃國小113學年度師生素食午餐桶餐財務採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺南市安南區海佃國民小學,1130701,2024-07-01,462000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616133.xml,BDM-1-70616133,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0241,桃園市113年新生贈禮計畫-國中文具套組,桃園市113年新生贈禮計畫-國中文具套組,其他製造商品,其他產業,其他財物,範疇3 類別1,桃園市龜山區文華國民小學,c0813-11306-1,2024-07-01,322500,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616136.xml,BDM-1-70616136,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0242,113學年度鎮南國小午餐暨附設幼兒園午餐及點心(含調味品食用油)、水果食材採購,113學年度鎮南國小午餐暨附設幼兒園午餐及點心(含調味品食用油)、水果食材採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,雲林縣斗六市鎮南國民小學,B11309,2024-07-01,7264000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616143.xml,BDM-1-70616143,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0243,壓縮機配件(MAKER:VOITH)For烷化C-2001一批,壓縮機配件(MAKER:VOITH)For烷化C-2001,"幫浦,壓縮機,液壓與氣動引擎,閥門及其零件",機械設備,機械／零組件,範疇3 類別1,台灣中油股份有限公司,Q6I13B114,2024-07-01,11130000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616144.xml,BDM-1-70616144,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0244,專科教室觸控螢幕及開合式黑板採購案,專科教室觸控螢幕及開合式黑板,計算機及其零件與配件,資訊電子,資訊設備／軟體,範疇3 類別1,桃園市立草漯國民中學,11309,2024-07-01,394500,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616145.xml,BDM-1-70616145,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0245,成功淨水場沉澱池傾斜管採購案,成功淨水場沉澱池傾斜管,塑料半製品,其他產業,其他財物,範疇3 類別1,台灣自來水股份有限公司第十區管理處,WR11310340001,2024-07-01,10397245,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616158.xml,BDM-1-70616158,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0246,"氚氣自發光管13,000支","氚氣自發光管13,000支",未明列於其他章節之化學產品,化工塑橡膠,化學品／塑橡膠,範疇3 類別1,國防部軍備局生產製造中心,JE12204P2051,2024-07-01,2496000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616164.xml,BDM-1-70616164,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0247,113年度高教深耕計畫台經院產經資料庫採購案,113年度高教深耕計畫台經院產經資料庫,"紙漿,紙及紙產品;印刷品及相關的商品",包材印刷,紙品／印刷／包材,範疇3 類別1,私立真理大學,AU112-020L,2024-07-01,270000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616173.xml,BDM-1-70616173,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0248,「ALK非小細胞癌檢測試劑三年期單價開口契約(含提供儀器設備、耗材及維修)」,「ALK非小細胞癌檢測試劑三年期單價開口契約(含提供儀器設備、耗材及維修)」,醫藥產品,醫療生技,醫療用品／藥品,範疇3 類別1,臺中榮民總醫院,113K-R05,2024-07-01,1687500,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616214.xml,BDM-1-70616214,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0249,樂利國小113學年度第一學期代辦學用品採購,樂利國小113學年度第一學期代辦學用品採購,其他製造商品,其他產業,其他財物,範疇3 類別1,新北市土城區樂利國民小學,leli-11308,2024-07-01,1244150,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616216.xml,BDM-1-70616216,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0250,113學年度上學期美勞材料採購-,113學年度上學期美勞材料採購-,"紙漿,紙及紙產品;印刷品及相關的商品",包材印刷,紙品／印刷／包材,範疇3 類別1,臺北市萬華區東園國民小學,11309,2024-07-01,417480,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616226.xml,BDM-1-70616226,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0251,113-116年數位乳房X光攝影設備巡迴車租賃三年合約,113-116年數位乳房X光攝影設備巡迴車租賃三年合約,"醫療,外科及矯形設備",醫療生技,醫療用品／藥品,範疇3 類別1,臺中榮民總醫院埔里分院,PL113-06,2024-07-01,3103650,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616234.xml,BDM-1-70616234,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0252,113年中文圖書採購(開口契約)案(113年後續擴充),113年中文圖書採購(開口契約)案,"紙漿,紙及紙產品;印刷品及相關的商品",包材印刷,紙品／印刷／包材,範疇3 類別1,臺南市立圖書館,21121202-1,2024-07-01,3000000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616235.xml,BDM-1-70616235,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0253,113年配電外線施工及試驗設備等一批,113年配電外線施工及試驗設備等,電力傳輸、控制設備及其零件,電機電控,電力設備／電材,範疇3 類別1,台灣電力股份有限公司苗栗區營業處,1221300017,2024-07-01,4053000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616239.xml,BDM-1-70616239,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0254,「六堆園區數位式纜線測試器」財物採購案,「六堆園區數位式纜線測試器」財物,"收音機、電視,通訊器材及儀器",電子通訊,通訊／電子設備,範疇3 類別1,客家委員會客家文化發展中心,113039,2024-07-01,520000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616252.xml,BDM-1-70616252,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0255,0.9L16年陳高禮盒瓷瓶含蓋(三太子-發)500組議價案,0.9L16年陳高禮盒瓷瓶含蓋(三太子-發)500組議價案,耐火產品及結構性非耐火黏土產品,其他產業,其他財物,範疇3 類別1,臺灣菸酒股份有限公司屏東酒廠,113-0420-2-026,2024-07-01,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616255.xml,BDM-1-70616255,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
RP-0256,113學年度學生午餐肉類食材供應採購,113學年度學生午餐肉類食材供應採購,"肉類,魚,果實,蔬菜,及油脂",食品農產,食品／農產,範疇3 類別1,臺中市潭子區頭家國民小學,112013,2024-07-01,8500000,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240702&fn=BDM-1-70616260.xml,BDM-1-70616260,真實公開決標紀錄,標準品名、產業與Scope 3為規則式候選，需人工覆核
